País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
Saint Lucia,10399,55.0,150,2.0,7801,11.0,2448,10,56319.0,812.0,76141,412362,184646,North America
Gambia,9867,-1.0,330,-1.0,9504,-1.0,33,3,3949.0,132.0,101817,40747,2498733,Africa
Yemen,8630,37.0,1638,10.0,5363,15.0,1629,23,282.0,53.0,265253,8662,30620866,Asia
Isle of Man,7141,28.0,38,-1.0,6790,-1.0,313,1,83443.0,444.0,83753,978663,85579,Europe
Eritrea,6671,2.0,40,-1.0,6618,-1.0,13,-1,1850.0,11.0,23693,6571,3605903,Africa
Sierra Leone,6392,1.0,121,-1.0,4374,-1.0,1897,-1,782.0,15.0,160729,19665,8173343,Africa
Barbados,6358,-1.0,57,-1.0,5366,-1.0,935,-1,22092.0,198.0,292019,1014652,287802,North America
Guinea-Bissau,6078,9.0,130,-1.0,5227,13.0,721,4,3003.0,64.0,96119,47483,2024270,Africa
Niger,5951,-1.0,201,-1.0,5685,-1.0,65,-1,236.0,8.0,151254,5987,25264194,Africa
Liberia,5777,-1.0,283,-1.0,5458,-1.0,36,2,1111.0,54.0,128246,24656,5201490,Africa
Gibraltar,5476,7.0,97,-1.0,5296,5.0,83,3,162594.0,2880.0,351406,10433980,33679,Europe
San Marino,5388,-1.0,90,-1.0,5240,-1.0,58,1,158387.0,2646.0,77225,2270122,34018,Europe
Chad,5026,1.0,174,-1.0,4837,2.0,15,-1,296.0,10.0,143562,8447,16995520,Africa
Brunei ,4957,143.0,26,2.0,3335,79.0,1596,-1,11201.0,59.0,299353,676414,442559,Asia
Bermuda,4218,-1.0,38,-1.0,2942,-1.0,1238,1,68034.0,613.0,510104,8227749,61998,North America
Comoros,4104,-1.0,147,-1.0,3942,-1.0,15,-1,4601.0,165.0,-1,-1,892020,Africa
Sint Maarten,4070,-1.0,59,-1.0,3840,-1.0,171,14,93636.0,1357.0,41509,954976,43466,North America
